Product_ID,Product_Name,Category,Attribute,Carbon_Footprint_kgCO2e,Water_Usage_Liters,Resource_Sourcing,Manufacturing_Impact,Certification,Compliance_with_Standards,User_Preference,Price_Range_USD,Availability,Brand
26259,EcoSmart Recycled Fabric Scarf,Clothing,Renewable Material,76.0,84.22,Partially Sustainable,Medium,USDA Organic,None,Low Carbon,498.91,In Stock,NaturePro
7598,SustainPlus Eco-Friendly Stapler,Office Supplies,Organic,29.85,145.43,Partially Sustainable,Low,Fair Trade,ISO 14001,Organic,183.3,In Stock,CleanEarth
29896,EcoEssentials Energy-Saving Kettle,Home Appliances,Energy-Efficient,76.27,50.02,Sustainable,Low,USDA Organic,None,Energy Efficient,426.8,In Stock,SustainCo
1520,GreenLife Solar Lantern,Outdoor,Low-Waste,2.04,105.34,Partially Sustainable,Medium,Energy Star,None,Organic,484.51,Out of Stock,GreenChoice
37591,GreenLife Cotton Socks,Clothing,Recyclable,62.79,132.78,Sustainable,High,Fair Trade,ISO 14001,Recyclable,105.78,In Stock,SustainCo
18932,EcoEssentials Energy-Saving Kettle,Home Appliances,Renewable Material,41.58,167.9,Partially Sustainable,High,Energy Star,ISO 14001,Organic,493.68,In Stock,NaturePro
10990,GreenLife Gluten-Free Pasta,Food,Biodegradable,24.25,63.35,Partially Sustainable,Medium,Energy Star,ISO 14001,Eco-Certified,145.38,Out of Stock,GreenChoice
5346,GreenLife LED Light Bulb,Electronics,Renewable Material,99.72,110.3,Non-Sustainable,Medium,None,ISO 14001,Low Carbon,91.44,In Stock,SustainCo
28088,EcoEssentials Energy-Saving Kettle,Home Appliances,Organic,80.55,143.49,Partially Sustainable,High,FSC,ISO 14001,Organic,352.21,Out of Stock,SustainCo
3594,EcoEssentials Natural Shampoo,Beauty,Renewable Material,99.88,131.39,Sustainable,Low,None,None,Organic,134.73,Out of Stock,GreenChoice
21483,EcoSmart Energy-Efficient Speaker,Electronics,Organic,21.0,41.89,Sustainable,Low,FSC,None,Organic,171.28,In Stock,EnviroGoods
36999,PureEarth Vegan Lip Balm,Beauty,Biodegradable,18.35,162.13,Sustainable,Medium,None,None,Energy Efficient,253.41,Out of Stock,GreenChoice
29829,GreenLife LED Light Bulb,Electronics,Organic,7.4,129.05,Partially Sustainable,High,Energy Star,None,Low Carbon,101.3,Out of Stock,CleanEarth
8925,SustainPlus Hiking Backpack,Outdoor,Recyclable,81.86,33.38,Partially Sustainable,Low,None,None,Recyclable,6.34,Out of Stock,GreenChoice
18319,GreenLife Biodegradable Pen,Office Supplies,Renewable Material,80.76,178.57,Non-Sustainable,High,FSC,ISO 14001,Eco-Certified,220.76,In Stock,EnviroGoods
28920,EcoEssentials Organic Coffee,Food,Biodegradable,91.54,101.45,Non-Sustainable,High,Energy Star,ISO 14001,Eco-Certified,108.43,In Stock,GreenChoice
6301,GreenLife Solar Fan,Home Appliances,Renewable Material,85.02,34.95,Partially Sustainable,High,Energy Star,None,Energy Efficient,311.48,In Stock,NaturePro
19046,GreenLife Solar Fan,Home Appliances,Low-Waste,51.6,84.57,Sustainable,Low,USDA Organic,ISO 14001,Energy Efficient,300.41,In Stock,GreenChoice
47245,SustainPlus Cruelty-Free Moisturizer,Beauty,Recyclable,5.48,23.32,Partially Sustainable,High,None,None,Recyclable,150.22,Out of Stock,GreenChoice
3814,PureEarth Recycled Paper,Office Supplies,Biodegradable,28.16,140.15,Sustainable,Medium,USDA Organic,ISO 14001,Organic,174.9,Out of Stock,NaturePro
9411,PureEarth Recycled Blender,Home Appliances,Renewable Material,24.88,122.43,Partially Sustainable,Medium,USDA Organic,None,Low Carbon,127.4,In Stock,NaturePro
18689,PureEarth Vegan Chocolate,Food,Biodegradable,87.75,77.3,Sustainable,Low,USDA Organic,None,Organic,435.64,Out of Stock,GreenChoice
28820,SustainPlus Almond Milk,Food,Low-Waste,86.44,19.68,Non-Sustainable,Medium,Fair Trade,None,Organic,267.07,In Stock,CleanEarth
37549,GreenLife Cotton Socks,Clothing,Organic,45.81,158.97,Non-Sustainable,Medium,None,None,Low Carbon,69.75,In Stock,GreenChoice
17577,PureEarth Eco-Friendly Jeans,Clothing,Biodegradable,46.69,154.03,Non-Sustainable,Low,Fair Trade,None,Energy Efficient,308.87,Out of Stock,EcoBrand
41449,GreenLife Solar Fan,Home Appliances,Biodegradable,30.92,83.62,Partially Sustainable,Low,USDA Organic,None,Eco-Certified,51.9,Out of Stock,EcoBrand
44454,SustainPlus Cruelty-Free Moisturizer,Beauty,Organic,72.45,44.73,Non-Sustainable,Medium,Energy Star,ISO 14001,Organic,146.66,Out of Stock,EnviroGoods
47122,SustainPlus Hemp Jacket,Clothing,Recyclable,7.27,146.5,Sustainable,High,USDA Organic,None,Energy Efficient,90.74,In Stock,NaturePro
18645,PureEarth Recycled Paper,Office Supplies,Low-Waste,7.76,164.72,Non-Sustainable,High,USDA Organic,ISO 14001,Eco-Certified,281.41,Out of Stock,NaturePro
31097,EcoSmart Recycled Fabric Scarf,Clothing,Energy-Efficient,60.2,155.13,Sustainable,High,Energy Star,None,Low Carbon,394.34,Out of Stock,SustainCo
4326,PureEarth Laptop,Electronics,Renewable Material,79.35,146.39,Partially Sustainable,Low,Energy Star,ISO 14001,Low Carbon,363.37,In Stock,SustainCo
11151,EcoSmart Energy-Efficient Speaker,Electronics,Low-Waste,6.55,11.39,Non-Sustainable,High,None,ISO 14001,Low Carbon,70.65,In Stock,SustainCo
47400,GreenLife Solar Fan,Home Appliances,Energy-Efficient,63.26,139.73,Partially Sustainable,High,USDA Organic,ISO 14001,Recyclable,30.59,In Stock,EcoBrand
11855,SustainPlus Hemp Jacket,Clothing,Organic,42.33,116.67,Partially Sustainable,Low,Energy Star,None,Energy Efficient,101.6,Out of Stock,CleanEarth
9961,SustainPlus Cruelty-Free Moisturizer,Beauty,Renewable Material,44.81,57.83,Non-Sustainable,Medium,USDA Organic,ISO 14001,Energy Efficient,377.58,In Stock,EcoBrand
6390,EcoSmart Aloe Vera Gel,Beauty,Biodegradable,32.37,36.82,Sustainable,High,None,ISO 14001,Recyclable,91.63,In Stock,SustainCo
36966,SustainPlus Hiking Backpack,Outdoor,Energy-Efficient,62.97,146.74,Sustainable,High,FSC,ISO 14001,Eco-Certified,48.57,Out of Stock,NaturePro
17653,PureEarth Recycled Paper,Office Supplies,Renewable Material,10.93,126.22,Partially Sustainable,Low,Energy Star,None,Eco-Certified,433.9,In Stock,SustainCo
49876,EcoEssentials Solar Charger,Electronics,Recyclable,10.65,163.31,Partially Sustainable,High,FSC,None,Eco-Certified,445.59,Out of Stock,GreenChoice
9388,GreenLife Gluten-Free Pasta,Food,Organic,25.93,36.59,Non-Sustainable,Medium,None,ISO 14001,Recyclable,490.6,In Stock,EcoBrand
36142,EcoEssentials Organic T-Shirt,Clothing,Recyclable,14.22,51.68,Sustainable,Medium,USDA Organic,ISO 14001,Energy Efficient,173.44,In Stock,EnviroGoods
31673,GreenLife LED Light Bulb,Electronics,Renewable Material,34.36,155.65,Non-Sustainable,High,Fair Trade,ISO 14001,Low Carbon,161.42,Out of Stock,EcoBrand
31175,SustainPlus Water Purifier,Home Appliances,Recyclable,67.28,45.55,Sustainable,Low,Fair Trade,None,Energy Efficient,243.21,Out of Stock,CleanEarth
39124,GreenLife LED Light Bulb,Electronics,Biodegradable,38.35,123.31,Non-Sustainable,Low,FSC,ISO 14001,Low Carbon,307.51,In Stock,CleanEarth
36982,EcoEssentials Recycled Notebook,Office Supplies,Low-Waste,2.92,160.13,Sustainable,Medium,Energy Star,ISO 14001,Energy Efficient,73.19,In Stock,EnviroGoods
38637,EcoEssentials Energy-Saving Kettle,Home Appliances,Energy-Efficient,49.68,42.38,Sustainable,Medium,Fair Trade,ISO 14001,Low Carbon,193.99,In Stock,NaturePro
19147,EcoSmart Energy-Efficient Speaker,Electronics,Organic,46.61,68.24,Partially Sustainable,High,USDA Organic,None,Eco-Certified,196.6,Out of Stock,GreenChoice
1647,EcoSmart LED Lamp,Home Appliances,Renewable Material,83.1,118.34,Non-Sustainable,High,USDA Organic,None,Eco-Certified,204.44,Out of Stock,EcoBrand
12205,EcoSmart Biodegradable Sleeping Bag,Outdoor,Renewable Material,75.65,71.38,Non-Sustainable,Low,None,ISO 14001,Recyclable,347.86,Out of Stock,EcoBrand
3964,EcoEssentials Recycled Notebook,Office Supplies,Low-Waste,23.12,140.43,Partially Sustainable,Low,FSC,None,Recyclable,276.08,Out of Stock,GreenChoice
48600,PureEarth Recycled Blender,Home Appliances,Organic,43.63,184.27,Partially Sustainable,High,FSC,ISO 14001,Eco-Certified,109.26,In Stock,EcoBrand
40536,PureEarth Laptop,Electronics,Biodegradable,17.08,47.7,Sustainable,High,Energy Star,ISO 14001,Energy Efficient,198.01,In Stock,CleanEarth
49004,SustainPlus Water Purifier,Home Appliances,Organic,84.77,169.55,Partially Sustainable,Medium,USDA Organic,ISO 14001,Low Carbon,169.79,In Stock,EnviroGoods
25918,EcoSmart LED Lamp,Home Appliances,Energy-Efficient,7.61,25.53,Partially Sustainable,High,Energy Star,None,Organic,20.18,Out of Stock,EcoBrand
27573,SustainPlus Cruelty-Free Moisturizer,Beauty,Energy-Efficient,31.51,17.47,Non-Sustainable,High,None,ISO 14001,Recyclable,401.98,Out of Stock,EnviroGoods
8880,GreenLife Solar Lantern,Outdoor,Energy-Efficient,44.3,127.65,Partially Sustainable,Medium,None,ISO 14001,Recyclable,265.84,In Stock,EnviroGoods
12493,EcoSmart Reusable Planner,Office Supplies,Biodegradable,85.78,145.76,Sustainable,Low,FSC,ISO 14001,Low Carbon,353.76,In Stock,EnviroGoods
33358,GreenLife Gluten-Free Pasta,Food,Low-Waste,12.33,173.98,Partially Sustainable,High,Energy Star,ISO 14001,Energy Efficient,100.8,Out of Stock,GreenChoice
6625,SustainPlus Eco-Friendly Stapler,Office Supplies,Recyclable,37.09,118.09,Non-Sustainable,Low,Energy Star,None,Organic,438.36,In Stock,EnviroGoods
15323,EcoSmart Energy-Efficient Speaker,Electronics,Biodegradable,19.87,46.79,Sustainable,Medium,FSC,ISO 14001,Eco-Certified,413.18,Out of Stock,EcoBrand
36287,SustainPlus Hiking Backpack,Outdoor,Organic,9.43,97.31,Sustainable,High,USDA Organic,None,Eco-Certified,157.46,In Stock,NaturePro
44450,EcoSmart Energy-Efficient Speaker,Electronics,Biodegradable,96.81,13.17,Sustainable,Low,Fair Trade,None,Energy Efficient,190.75,In Stock,EcoBrand
45204,EcoSmart Energy-Efficient Speaker,Electronics,Energy-Efficient,41.62,47.92,Sustainable,High,Fair Trade,None,Recyclable,122.64,In Stock,CleanEarth
27722,GreenLife Cotton Socks,Clothing,Organic,22.41,117.8,Non-Sustainable,Low,Fair Trade,None,Low Carbon,182.33,Out of Stock,GreenChoice
12669,PureEarth Vegan Chocolate,Food,Biodegradable,27.68,69.64,Sustainable,Low,USDA Organic,None,Organic,414.26,Out of Stock,SustainCo
38967,SustainPlus Smart Thermostat,Electronics,Biodegradable,3.09,178.35,Sustainable,Medium,None,None,Eco-Certified,177.37,In Stock,GreenChoice
1828,SustainPlus Hemp Jacket,Clothing,Energy-Efficient,25.32,55.91,Partially Sustainable,Low,Fair Trade,None,Eco-Certified,16.04,In Stock,GreenChoice
5577,GreenLife Solar Lantern,Outdoor,Renewable Material,32.15,193.71,Non-Sustainable,Low,FSC,ISO 14001,Low Carbon,164.39,Out of Stock,EcoBrand
21884,PureEarth Recycled Blender,Home Appliances,Low-Waste,65.99,112.57,Partially Sustainable,Low,None,None,Organic,440.27,Out of Stock,EnviroGoods
18491,EcoSmart Reusable Planner,Office Supplies,Biodegradable,47.73,55.64,Non-Sustainable,Low,None,None,Eco-Certified,358.11,Out of Stock,NaturePro
2552,PureEarth Laptop,Electronics,Biodegradable,33.98,94.83,Non-Sustainable,Medium,FSC,ISO 14001,Recyclable,239.51,In Stock,GreenChoice
29082,EcoSmart Organic Green Tea,Food,Biodegradable,14.13,90.74,Non-Sustainable,Low,Fair Trade,ISO 14001,Recyclable,417.95,In Stock,SustainCo
27654,PureEarth Recycled Paper,Office Supplies,Energy-Efficient,93.7,176.61,Partially Sustainable,Low,USDA Organic,None,Low Carbon,420.95,In Stock,EnviroGoods
23739,EcoSmart Recycled Fabric Scarf,Clothing,Low-Waste,61.4,146.64,Sustainable,Medium,FSC,None,Recyclable,466.54,Out of Stock,GreenChoice
33182,PureEarth Camping Stove,Outdoor,Energy-Efficient,79.88,68.58,Non-Sustainable,High,Energy Star,None,Eco-Certified,231.22,Out of Stock,EcoBrand
17873,PureEarth Recycled Paper,Office Supplies,Recyclable,40.99,98.65,Non-Sustainable,Medium,Fair Trade,ISO 14001,Organic,74.77,In Stock,NaturePro
36225,EcoEssentials Recycled Notebook,Office Supplies,Low-Waste,79.62,199.78,Non-Sustainable,Medium,USDA Organic,None,Energy Efficient,20.49,In Stock,SustainCo
9960,EcoSmart LED Lamp,Home Appliances,Energy-Efficient,65.35,10.93,Sustainable,Medium,Energy Star,None,Energy Efficient,265.65,Out of Stock,NaturePro
15143,GreenLife Biodegradable Pen,Office Supplies,Recyclable,44.74,71.41,Sustainable,High,Fair Trade,ISO 14001,Recyclable,106.55,In Stock,SustainCo
23481,PureEarth Vegan Chocolate,Food,Recyclable,47.87,122.1,Sustainable,Medium,FSC,ISO 14001,Energy Efficient,495.25,In Stock,EcoBrand
28253,GreenLife Gluten-Free Pasta,Food,Recyclable,61.9,119.64,Partially Sustainable,Low,FSC,ISO 14001,Organic,123.22,Out of Stock,CleanEarth
47181,EcoEssentials Organic T-Shirt,Clothing,Low-Waste,55.11,168.96,Sustainable,Medium,FSC,ISO 14001,Organic,42.77,In Stock,GreenChoice
3909,GreenLife Cotton Socks,Clothing,Organic,21.07,14.7,Partially Sustainable,High,FSC,ISO 14001,Low Carbon,306.87,In Stock,GreenChoice
20073,PureEarth Laptop,Electronics,Organic,86.26,157.28,Partially Sustainable,Low,Fair Trade,None,Energy Efficient,160.55,In Stock,SustainCo
3491,EcoSmart Biodegradable Sleeping Bag,Outdoor,Organic,18.2,106.17,Sustainable,Low,FSC,None,Energy Efficient,281.77,In Stock,NaturePro
45925,EcoSmart Recycled Fabric Scarf,Clothing,Low-Waste,26.12,80.83,Partially Sustainable,High,USDA Organic,None,Energy Efficient,160.88,Out of Stock,EcoBrand
18346,SustainPlus Almond Milk,Food,Low-Waste,53.86,107.73,Partially Sustainable,Low,Fair Trade,ISO 14001,Energy Efficient,493.59,Out of Stock,SustainCo
21891,EcoSmart LED Lamp,Home Appliances,Organic,81.39,69.05,Partially Sustainable,High,Energy Star,ISO 14001,Low Carbon,294.64,In Stock,EcoBrand
13937,SustainPlus Hemp Jacket,Clothing,Organic,23.27,12.91,Partially Sustainable,Medium,USDA Organic,ISO 14001,Organic,16.81,In Stock,CleanEarth
30977,EcoEssentials Recycled Notebook,Office Supplies,Recyclable,71.45,164.3,Sustainable,Medium,FSC,None,Eco-Certified,231.4,Out of Stock,EnviroGoods
38403,PureEarth Vegan Lip Balm,Beauty,Recyclable,68.86,107.77,Sustainable,Medium,USDA Organic,None,Organic,196.28,In Stock,EcoBrand
4705,GreenLife Gluten-Free Pasta,Food,Energy-Efficient,75.8,57.64,Partially Sustainable,High,Fair Trade,ISO 14001,Eco-Certified,277.36,Out of Stock,EcoBrand
24828,SustainPlus Hiking Backpack,Outdoor,Renewable Material,10.52,142.41,Sustainable,High,USDA Organic,ISO 14001,Recyclable,392.04,Out of Stock,CleanEarth
312,EcoEssentials Solar Charger,Electronics,Renewable Material,60.17,39.95,Sustainable,Medium,FSC,None,Recyclable,304.25,Out of Stock,GreenChoice
12007,SustainPlus Smart Thermostat,Electronics,Energy-Efficient,45.31,121.48,Non-Sustainable,High,Fair Trade,ISO 14001,Eco-Certified,174.13,Out of Stock,GreenChoice
21647,EcoEssentials Recycled Notebook,Office Supplies,Energy-Efficient,39.04,57.44,Sustainable,Medium,Energy Star,ISO 14001,Low Carbon,65.89,Out of Stock,GreenChoice
17667,PureEarth Recycled Blender,Home Appliances,Recyclable,13.31,22.66,Sustainable,Low,Fair Trade,ISO 14001,Energy Efficient,178.42,Out of Stock,EnviroGoods
8626,GreenLife Gluten-Free Pasta,Food,Energy-Efficient,63.76,12.26,Sustainable,High,FSC,None,Low Carbon,162.58,In Stock,EcoBrand
45907,EcoSmart Recycled Fabric Scarf,Clothing,Energy-Efficient,93.47,165.85,Non-Sustainable,High,USDA Organic,ISO 14001,Low Carbon,209.82,In Stock,GreenChoice
14531,PureEarth Vegan Lip Balm,Beauty,Low-Waste,63.75,33.75,Sustainable,Medium,None,ISO 14001,Low Carbon,96.02,In Stock,GreenChoice
15905,EcoEssentials Organic Coffee,Food,Energy-Efficient,21.2,17.08,Non-Sustainable,Medium,USDA Organic,None,Eco-Certified,307.38,In Stock,CleanEarth
24651,EcoEssentials Energy-Saving Kettle,Home Appliances,Recyclable,76.82,15.84,Partially Sustainable,High,USDA Organic,ISO 14001,Low Carbon,470.14,In Stock,EcoBrand
33619,SustainPlus Hiking Backpack,Outdoor,Organic,3.97,98.22,Sustainable,High,Energy Star,None,Energy Efficient,354.19,Out of Stock,CleanEarth
14983,SustainPlus Almond Milk,Food,Renewable Material,8.69,62.31,Sustainable,Low,FSC,ISO 14001,Organic,145.97,In Stock,SustainCo
18536,EcoSmart LED Lamp,Home Appliances,Renewable Material,32.91,66.99,Non-Sustainable,Medium,Fair Trade,ISO 14001,Eco-Certified,430.69,Out of Stock,EnviroGoods
47518,SustainPlus Hiking Backpack,Outdoor,Energy-Efficient,19.3,72.16,Sustainable,High,USDA Organic,None,Energy Efficient,101.14,In Stock,EnviroGoods
41715,EcoSmart Aloe Vera Gel,Beauty,Organic,37.57,21.87,Partially Sustainable,Low,Energy Star,ISO 14001,Low Carbon,336.75,In Stock,CleanEarth
44541,GreenLife Cotton Socks,Clothing,Low-Waste,66.38,49.7,Partially Sustainable,Low,None,ISO 14001,Low Carbon,370.96,In Stock,NaturePro
38288,SustainPlus Cruelty-Free Moisturizer,Beauty,Biodegradable,88.29,197.2,Non-Sustainable,Low,None,None,Energy Efficient,432.47,In Stock,NaturePro
43592,SustainPlus Hiking Backpack,Outdoor,Biodegradable,91.13,13.8,Partially Sustainable,Low,None,None,Eco-Certified,39.54,In Stock,GreenChoice
3751,EcoSmart Biodegradable Sleeping Bag,Outdoor,Recyclable,33.63,32.25,Sustainable,High,None,None,Low Carbon,441.9,Out of Stock,GreenChoice
10124,SustainPlus Hemp Jacket,Clothing,Organic,33.08,45.39,Non-Sustainable,Medium,None,None,Energy Efficient,419.32,In Stock,GreenChoice
29824,PureEarth Eco-Friendly Jeans,Clothing,Organic,72.12,184.27,Non-Sustainable,Low,USDA Organic,None,Eco-Certified,312.64,In Stock,SustainCo
707,EcoSmart Biodegradable Sleeping Bag,Outdoor,Organic,24.27,80.09,Partially Sustainable,High,Fair Trade,ISO 14001,Recyclable,86.95,Out of Stock,EcoBrand
43772,SustainPlus Cruelty-Free Moisturizer,Beauty,Renewable Material,70.32,128.63,Partially Sustainable,Low,FSC,ISO 14001,Organic,104.53,Out of Stock,EcoBrand
30936,PureEarth Recycled Blender,Home Appliances,Renewable Material,86.75,61.25,Partially Sustainable,High,FSC,None,Eco-Certified,383.53,In Stock,GreenChoice
9410,EcoSmart Organic Green Tea,Food,Low-Waste,64.02,83.75,Sustainable,Medium,None,None,Eco-Certified,407.15,Out of Stock,EcoBrand
32053,GreenLife Solar Fan,Home Appliances,Recyclable,43.6,117.56,Non-Sustainable,Medium,Fair Trade,ISO 14001,Organic,168.27,In Stock,CleanEarth
21292,SustainPlus Smart Thermostat,Electronics,Energy-Efficient,35.01,41.24,Sustainable,Medium,USDA Organic,None,Recyclable,486.02,In Stock,SustainCo
12534,EcoEssentials Solar Charger,Electronics,Renewable Material,60.37,177.4,Sustainable,Low,USDA Organic,None,Organic,351.63,In Stock,EnviroGoods
45067,EcoEssentials Recycled Notebook,Office Supplies,Biodegradable,53.02,93.53,Sustainable,Medium,None,ISO 14001,Recyclable,478.89,In Stock,GreenChoice
18953,GreenLife Solar Lantern,Outdoor,Low-Waste,61.98,102.9,Sustainable,Low,Fair Trade,ISO 14001,Low Carbon,6.97,In Stock,SustainCo
33599,PureEarth Recycled Blender,Home Appliances,Biodegradable,45.48,169.78,Non-Sustainable,Low,Fair Trade,ISO 14001,Low Carbon,92.45,Out of Stock,CleanEarth
41517,PureEarth Vegan Chocolate,Food,Organic,9.83,186.73,Partially Sustainable,Low,FSC,None,Energy Efficient,172.26,Out of Stock,NaturePro
20631,GreenLife Biodegradable Pen,Office Supplies,Organic,29.97,104.77,Non-Sustainable,Medium,None,None,Energy Efficient,132.52,In Stock,GreenChoice
40829,GreenLife Biodegradable Pen,Office Supplies,Biodegradable,60.82,149.43,Sustainable,Medium,None,None,Recyclable,370.34,In Stock,CleanEarth
23091,SustainPlus Cruelty-Free Moisturizer,Beauty,Renewable Material,56.59,151.17,Sustainable,Medium,Fair Trade,None,Low Carbon,242.25,In Stock,EcoBrand
36147,SustainPlus Hemp Jacket,Clothing,Biodegradable,51.52,35.52,Sustainable,High,FSC,None,Low Carbon,208.03,In Stock,EcoBrand
30168,EcoEssentials Recycled Tent,Outdoor,Energy-Efficient,97.24,183.14,Sustainable,Low,USDA Organic,None,Eco-Certified,419.43,Out of Stock,SustainCo
11,EcoSmart Reusable Planner,Office Supplies,Biodegradable,67.06,73.11,Sustainable,Low,USDA Organic,None,Energy Efficient,450.75,Out of Stock,GreenChoice
42183,SustainPlus Water Purifier,Home Appliances,Biodegradable,43.95,100.17,Partially Sustainable,Low,Energy Star,ISO 14001,Energy Efficient,351.2,In Stock,EnviroGoods
7260,EcoSmart LED Lamp,Home Appliances,Renewable Material,83.7,198.85,Non-Sustainable,High,Fair Trade,None,Low Carbon,392.55,In Stock,GreenChoice
32267,EcoSmart Biodegradable Sleeping Bag,Outdoor,Low-Waste,52.47,65.33,Sustainable,Low,USDA Organic,None,Energy Efficient,241.14,Out of Stock,GreenChoice
41614,EcoSmart Aloe Vera Gel,Beauty,Energy-Efficient,98.25,145.68,Non-Sustainable,High,USDA Organic,ISO 14001,Recyclable,127.63,Out of Stock,CleanEarth
28772,EcoSmart LED Lamp,Home Appliances,Organic,36.02,174.25,Sustainable,Medium,Fair Trade,None,Low Carbon,75.35,Out of Stock,CleanEarth
10651,SustainPlus Smart Thermostat,Electronics,Renewable Material,87.35,64.66,Partially Sustainable,High,USDA Organic,None,Recyclable,435.65,In Stock,NaturePro
33636,SustainPlus Cruelty-Free Moisturizer,Beauty,Biodegradable,72.75,66.73,Partially Sustainable,Low,None,ISO 14001,Recyclable,346.21,In Stock,SustainCo
8474,GreenLife Biodegradable Pen,Office Supplies,Biodegradable,7.98,170.28,Sustainable,Medium,FSC,None,Low Carbon,291.21,In Stock,EnviroGoods
26094,EcoEssentials Recycled Notebook,Office Supplies,Organic,23.95,29.49,Sustainable,Medium,FSC,ISO 14001,Recyclable,272.98,Out of Stock,SustainCo
10402,SustainPlus Water Purifier,Home Appliances,Renewable Material,13.32,120.58,Non-Sustainable,Low,Energy Star,None,Low Carbon,366.8,Out of Stock,SustainCo
9257,SustainPlus Hemp Jacket,Clothing,Energy-Efficient,31.01,76.68,Partially Sustainable,Medium,FSC,None,Recyclable,200.66,In Stock,SustainCo
22385,EcoEssentials Natural Shampoo,Beauty,Energy-Efficient,28.34,193.54,Non-Sustainable,Medium,Fair Trade,ISO 14001,Recyclable,246.69,In Stock,EcoBrand
45100,GreenLife LED Light Bulb,Electronics,Energy-Efficient,86.52,24.4,Sustainable,High,None,None,Energy Efficient,178.6,Out of Stock,EcoBrand
22138,EcoSmart Recycled Fabric Scarf,Clothing,Organic,16.3,124.58,Partially Sustainable,High,Energy Star,ISO 14001,Recyclable,300.08,Out of Stock,EcoBrand
31748,EcoEssentials Organic Coffee,Food,Biodegradable,51.14,116.01,Non-Sustainable,Medium,Energy Star,ISO 14001,Recyclable,139.21,Out of Stock,SustainCo
10265,GreenLife Organic Soap,Beauty,Renewable Material,53.52,179.51,Non-Sustainable,Medium,Fair Trade,ISO 14001,Eco-Certified,321.68,Out of Stock,SustainCo
22594,GreenLife Gluten-Free Pasta,Food,Low-Waste,97.95,133.93,Partially Sustainable,Low,Fair Trade,ISO 14001,Recyclable,35.59,Out of Stock,SustainCo
6458,SustainPlus Cruelty-Free Moisturizer,Beauty,Energy-Efficient,89.32,117.75,Non-Sustainable,Low,Energy Star,ISO 14001,Low Carbon,290.58,In Stock,CleanEarth
49383,GreenLife Solar Fan,Home Appliances,Biodegradable,6.74,34.74,Non-Sustainable,Low,None,None,Energy Efficient,43.14,In Stock,GreenChoice
48323,PureEarth Recycled Blender,Home Appliances,Organic,36.51,180.82,Non-Sustainable,Low,Energy Star,ISO 14001,Organic,412.26,In Stock,EnviroGoods
30084,PureEarth Camping Stove,Outdoor,Biodegradable,61.01,110.69,Non-Sustainable,Medium,FSC,None,Organic,363.92,In Stock,EnviroGoods
33737,PureEarth Eco-Friendly Jeans,Clothing,Biodegradable,9.73,114.15,Sustainable,Low,None,None,Energy Efficient,476.26,Out of Stock,CleanEarth
14515,PureEarth Camping Stove,Outdoor,Energy-Efficient,33.43,199.7,Partially Sustainable,Medium,Fair Trade,ISO 14001,Recyclable,229.63,Out of Stock,EnviroGoods
47896,GreenLife Gluten-Free Pasta,Food,Organic,5.55,137.08,Sustainable,Low,FSC,None,Recyclable,134.67,In Stock,SustainCo
46059,GreenLife LED Light Bulb,Electronics,Organic,92.44,35.42,Partially Sustainable,Low,USDA Organic,None,Energy Efficient,253.24,Out of Stock,EnviroGoods
10410,EcoSmart Recycled Fabric Scarf,Clothing,Energy-Efficient,1.29,159.95,Sustainable,Low,None,ISO 14001,Low Carbon,488.53,Out of Stock,EcoBrand
37000,EcoSmart Reusable Planner,Office Supplies,Energy-Efficient,54.39,16.92,Non-Sustainable,Medium,USDA Organic,None,Energy Efficient,189.85,Out of Stock,CleanEarth
46148,SustainPlus Hiking Backpack,Outdoor,Renewable Material,45.17,85.32,Partially Sustainable,Medium,None,None,Low Carbon,342.53,Out of Stock,GreenChoice
7831,SustainPlus Water Purifier,Home Appliances,Recyclable,64.46,11.6,Sustainable,Low,None,None,Recyclable,116.85,In Stock,NaturePro
15891,EcoEssentials Recycled Notebook,Office Supplies,Biodegradable,11.92,111.1,Partially Sustainable,Medium,Fair Trade,None,Low Carbon,9.15,In Stock,EnviroGoods
13226,PureEarth Eco-Friendly Jeans,Clothing,Biodegradable,30.57,40.58,Non-Sustainable,Low,USDA Organic,ISO 14001,Recyclable,343.57,In Stock,SustainCo
30073,SustainPlus Almond Milk,Food,Renewable Material,11.03,172.77,Partially Sustainable,Medium,None,None,Eco-Certified,125.75,In Stock,GreenChoice
26770,EcoSmart LED Lamp,Home Appliances,Organic,88.59,28.76,Sustainable,Low,Fair Trade,None,Eco-Certified,119.01,Out of Stock,CleanEarth
9298,SustainPlus Cruelty-Free Moisturizer,Beauty,Biodegradable,68.97,64.08,Non-Sustainable,Medium,Energy Star,ISO 14001,Organic,493.13,Out of Stock,NaturePro
48808,EcoSmart Aloe Vera Gel,Beauty,Renewable Material,41.69,77.7,Partially Sustainable,Low,None,ISO 14001,Energy Efficient,338.79,In Stock,EcoBrand
17645,SustainPlus Almond Milk,Food,Low-Waste,38.75,100.48,Sustainable,Low,None,ISO 14001,Low Carbon,79.24,Out of Stock,EcoBrand
408,GreenLife Cotton Socks,Clothing,Renewable Material,75.8,41.17,Non-Sustainable,Medium,USDA Organic,ISO 14001,Recyclable,300.5,In Stock,SustainCo
13486,PureEarth Eco-Friendly Jeans,Clothing,Biodegradable,90.51,175.43,Non-Sustainable,Medium,None,None,Eco-Certified,326.22,Out of Stock,GreenChoice
